"","plz_code","ZIP_3","ZIP3_ID"
"1119","79424","794",496
"1120","54646","546",288
"1121","52353","523",1023
"1122","46519","465",91
"1123","41516","415",321
"1124","47800","478",208
"1125","40668","406",1063
"1126","50226","502",961
"1127","46348","463",95
"1128","40479","404",1070
"1129","40477","404",1070
"1130","66359","663",257
"1131","40235","402",1012
"1132","40597","405",1066
"1133","54538","545",234
"1134","46238","462",98
"1135","54424","544",242
"1136","56826","568",425
"1137","53501","535",343
"1138","42549","425",281
"1139","56864","568",425
"1140","45768","457",144
"1141","79258","792",502
"1142","67752","677",447
"1143","58511","585",105
"1144","55442","554",435
"1145","79353","793",501
"1146","58553","585",105
"1147","56564","565",350
"1148","55618","556",428
"1149","44328","443",336
"1150","79415","794",496
"1151","58119","581",115
"1152","55499","554",435
"1153","59368","593",223
"1154","57638","576",161
"1155","48369","483",200
"1156","45289","452",159
"1157","66583","665",250
"1158","53227","532",293
"1159","42109","421",233
"1160","44652","446",326
"1161","66440","664",255
"1162","26721","267",786
"1163","66539","665",250
"1164","45663","456",153
"1165","66450","664",255
"1166","56865","568",426
"1167","44805","448",417
"1168","35719","357",570
"1169","78050","780",276
"1170","78737","787",261
"1171","59955","599",216
"1172","65931","659",353
"1173","68753","687",386
"1174","35625","356",571
"1175","32130","321",629
"1176","68549","685",389
"1177","61449","614",1028
"1178","27476","274",924
"1179","33758","337",553
"1180","64404","644",1033
"1181","76694","766",1115
"1182","76669","766",1115
"1183","32584","325",624
"1184","75172","751",1128
"1185","35396","353",577
"1186","32832","328",647
"1187","21776","217",525
"1188","69251","692",182
"1189","33189","331",511
"1190","78586","785",265
"1191","64689","646",1100
"1192","74931","749",964
"1193","35287","352",580
"1194","71155","711",126
"1195","25853","258",830
"1196","63762","637",1160
"1197","25860","258",830
"1198","34632","346",406
"1199","63584","635",1163
"1200","63939","639",1151
"1201","25873","258",830
"1202","63739","637",1160
"1203","63688","636",1161
"1204","34628","346",406
"1205","74376","743",929
"1206","63589","635",1163
"1207","70176","701",11
"1208","21755","217",525
"1209","70629","706",6
"1210","63849","638",1156
"1211","74076","740",942
"1212","34308","343",410
"1213","88699","886",1064
"1214","70374","703",10
"1215","71686","716",116
"1216","21737","217",525
"1217","31558","315",678
"1218","27308","273",925
"1219","74232","742",930
"1220","34317","343",411
"1221","71717","717",111
"1222","72664","726",67
"1223","27336","273",925
"1224","71409","714",121
"1225","21702","217",526
"1226","88376","883",1074
"1227","31637","316",677
"1228","36367","363",559
"1229","88374","883",1074
"1230","74538","745",969
"1231","37217","372",636
"1232","30169","301",596
"1233","89180","891",332
"1234","97786","977",1079
"1235","24576","245",541
"1236","30916","309",598
"1237","24366","243",546
"1238","97792","977",1079
"1239","22769","227",462
"1240","31141","311",662
"1241","97243","972",1020
"1242","22851","228",459
"1243","73489","734",1042
"1244","36460","364",558
"1245","21442","214",472
"1246","89518","895",320
"1247","22117","221",403
"1248","89293","892",327
"1249","97654","976",1082
"1250","31246","312",661
"1251","24146","241",557
"1252","97456","974",1018
"1253","97532","975",1088
"1254","89312","893",325
"1255","87761","877",1165
"1256","87784","877",1165
"1257","23813","238",594
"1258","86489","864",943
"1259","97529","975",1085
"1260","36448","364",558
"1261","99848","998",1169
"1262","73467","734",1042
"1263","89349","893",325
"1264","24321","243",547
"1265","87647","876",1166
"1266","21379","213",478
"1267","99891","998",1169
"1268","87663","876",1166
"1269","87651","876",1166
"1270","91315","913",895
"1271","38899","388",606
"1272","86857","868",981
"1273","96179","961",58
"1274","86157","861",953
"1275","86937","869",980
"1276","99092","990",1158
"1277","86154","861",953
"1278","96250","962",57
"1279","96050","960",59
"1280","86704","867",986
"1281","99097","990",1158
"1282","99610","996",1141
"1283","67813","678",518
"1284","79664","796",492
"1285","49504","495",643
"1286","77652","776",312
"1287","79737","797",488
"1288","77791","777",397
"1289","65307","653",309
"1290","79215","792",502
"1291","79297","792",502
"1292","56479","564",352
"1293","76833","768",1107
"1294","49413","494",645
"1295","67433","674",460
"1296","76865","768",1109
"1297","76768","767",1111
"1298","76770","767",1111
"1299","26209","262",798
"1300","67586","675",455
"1301","57334","573",169
"1302","76761","767",1111
"1303","35713","357",570
"1304","55299","552",443
"1305","65239","652",310
"1306","59558","595",221
"1307","67069","670",480
"1308","76332","763",1046
"1309","24805","248",531
"1310","36287","362",560
"1311","71560","715",118
"1312","73669","736",1039
"1313","21720","217",525
"1314","73035","730",978
"1315","97277","972",1020
"1316","24357","243",546
"1317","30855","308",601
"1318","07338","073",747
"1319","82069","820",1167
"1320","85107","851",1006
"1321","85053","850",1009
"1322","91224","912",897
"1323","85092","850",1009
"1324","06279","062",691
"1325","92268","922",852
"1326","85129","851",1008
"1327","80802","808",815
"1328","81927","819",30
"1329","93155","931",53
